identifier,latitude,longitude,feature,taille
1805-05-,-7.95,-14.37,FEATURE_VOLCANO,2.933487288
1805-051,-20.514,-29.331,FEATURE_VOLCANO,2.77815125
1806-01=,-37.092,-12.28,FEATURE_VOLCANO,3.31386722
1806-02-,-54.408,3.351,FEATURE_VOLCANO,2.869818208
1806-011,-37.42,-12.48,FEATURE_VOLCANO,2.562292864
0509-01-,-37.77,142.5,FEATURE_VOLCANO,3.004751156
1802-09=,37.77,-25.47,FEATURE_VOLCANO,2.976349979
1802-002,39.699,-31.111,FEATURE_VOLCANO,2.856124444
1802-01=,38.6,-28.73,FEATURE_VOLCANO,3.018284308
1802-001,39.462,-31.216,FEATURE_VOLCANO,2.960946196
1802-10=,37.77,-25.32,FEATURE_VOLCANO,2.90579588
1802-04=,39.02,-27.97,FEATURE_VOLCANO,2.604226053
1802-12-,32.73,-16.97,FEATURE_VOLCANO,3.269979677
1802-02=,38.47,-28.4,FEATURE_VOLCANO,3.371252629
1802-081,37.78,-25.67,FEATURE_VOLCANO,2.544068044
1802-03=,38.65,-28.08,FEATURE_VOLCANO,3.022428371
1802-08=,37.87,-25.78,FEATURE_VOLCANO,2.932473765
1802-05=,38.73,-27.32,FEATURE_VOLCANO,3.009875634
0605-04=,-7.125,128.675,FEATURE_VOLCANO,2.938519725
0605-09=,-4.523,129.881,FEATURE_VOLCANO,2.77524626
0605-03=,-6.642,126.65,FEATURE_VOLCANO,2.450249108
0605-08=,-5.543,130.303,FEATURE_VOLCANO,2.409933123
0605-06=,-6.73,129.5,FEATURE_VOLCANO,2.892651034
0605-07=,-6.312,130.017,FEATURE_VOLCANO,2.783903579
0605-05=,-6.976,129.144,FEATURE_VOLCANO,2.862131379
1505-036,-19.78,-66.48,FEATURE_VOLCANO,3.735439203
1505-035,-19.463,-67.432,FEATURE_VOLCANO,3.562292864
1505-042,-20.85,-68.2,FEATURE_VOLCANO,3.743744879
1505-012,-18.166,-69.142,FEATURE_VOLCANO,3.801815169
1505-021,-18.62,-68.75,FEATURE_VOLCANO,3.624797579
1505-061,-21.5,-67.5,FEATURE_VOLCANO,3.607455023
0610-01-,4.4,117.88,FEATURE_VOLCANO,2.725094521
0505-02=,-6.137,155.196,FEATURE_VOLCANO,3.268343914
0505-01=,-5.92,154.98,FEATURE_VOLCANO,3.433769834
0505-011,-6.092,155.225,FEATURE_VOLCANO,3.188647296
0505-03=,-6.52,155.62,FEATURE_VOLCANO,3.2757719
0505-021,-6.442,155.608,FEATURE_VOLCANO,3.344392274
0505-00-,-5.835,154.935,FEATURE_VOLCANO,3.337459261
1200-02-,60.42,-135.42,FEATURE_VOLCANO,3.345765693
1200-03-,59.68,-133.32,FEATURE_VOLCANO,3.274157849
1200-17-,50.8,-123.4,FEATURE_VOLCANO,3.397940009
,50.12,-123.28,FEATURE_VOLCANO,3.375663614
1200-11-,54.7,-130.23,FEATURE_VOLCANO,2.525044807
1200-06-,57.72,-130.63,FEATURE_VOLCANO,3.444981112
1200-01-,62.93,-137.38,FEATURE_VOLCANO,3.093071306
1200-20-,49.85,-123,FEATURE_VOLCANO,3.427810573
1200-19-,49.933,-123,FEATURE_VOLCANO,3.364738555
1200-04-,58.6,-131.97,FEATURE_VOLCANO,3.303627976
1200-08-,56.78,-131.28,FEATURE_VOLCANO,3.267171728
1200-09-,56.58,-130.55,FEATURE_VOLCANO,3.274157849
1200-05-,58.42,-131.35,FEATURE_VOLCANO,3.340444115
1200-18-,50.63,-123.5,FEATURE_VOLCANO,3.428134794
1200-12-,52.5,-128.73,FEATURE_VOLCANO,2.525044807
1200-14-,52.928,-123.732,FEATURE_VOLCANO,3.092720645
1200-13-,52.47,-124.7,FEATURE_VOLCANO,3.283527365
1200-16-,51.43,-126.3,FEATURE_VOLCANO,3.499687083
1200-07-,57.43,-130.68,FEATURE_VOLCANO,3.385606274
1200-10-,55.12,-128.9,FEATURE_VOLCANO,2.784617293
1200-031,59.37,-130.58,FEATURE_VOLCANO,3.326949994
1200-15-,52.33,-120.57,FEATURE_VOLCANO,3.410945859
1803-05-,28.358,-14.02,FEATURE_VOLCANO,2.723455672
1803-04-,28,-15.58,FEATURE_VOLCANO,3.290034611
1803-02-,27.73,-18.03,FEATURE_VOLCANO,3.176091259
1803-01-,28.57,-17.83,FEATURE_VOLCANO,3.384890797
1803-06-,29.03,-13.63,FEATURE_VOLCANO,2.826074803
1803-03-,28.271,-16.641,FEATURE_VOLCANO,3.569958818
1804-02-,14.85,-24.72,FEATURE_VOLCANO,2.954242509
1804-01=,14.95,-24.35,FEATURE_VOLCANO,3.451632947
1804-03-,17.07,-25.17,FEATURE_VOLCANO,3.296445794
1505-125,-27.033,-68.296,FEATURE_VOLCANO,3.822037248
1507-122,-39.637,-71.502,FEATURE_VOLCANO,3.577031986
1507-021,-34.164,-69.832,FEATURE_VOLCANO,3.726156466
1507-02=,-33.789,-69.895,FEATURE_VOLCANO,3.783188691
1507-153,-40.783,-72.15,FEATURE_VOLCANO,3.296445794
1507-08=,-37.406,-71.349,FEATURE_VOLCANO,3.474070503
1507-06=,-35.653,-70.761,FEATURE_VOLCANO,3.57840997
1507-064,-36.286,-71.009,FEATURE_VOLCANO,3.35564305
1507-112,-39.25,-71.75,FEATURE_VOLCANO,3.218010043
1507-042,-35.558,-70.496,FEATURE_VOLCANO,3.545059585
1507-091,-37.92,-71.45,FEATURE_VOLCANO,3.500236475
1507-14=,-40.35,-72.07,FEATURE_VOLCANO,3.046885191
1507-07=,-36.868,-71.378,FEATURE_VOLCANO,3.50242712
1507-09=,-37.856,-71.183,FEATURE_VOLCANO,3.470263447
1507-05=,-35.58,-70.75,FEATURE_VOLCANO,3.596926814
1507-041,-35.123,-69.9,FEATURE_VOLCANO,3.478133428
1507-11=,-38.692,-71.729,FEATURE_VOLCANO,3.494850022
1507-063,-36.193,-71.161,FEATURE_VOLCANO,3.510813011
1507-10=,-38.379,-71.586,FEATURE_VOLCANO,3.452093249
1507-092,-38.255,-71.167,FEATURE_VOLCANO,3.323870607
1507-061,-36.058,-70.492,FEATURE_VOLCANO,3.33485569
1507-13=,-39.927,-72.027,FEATURE_VOLCANO,3.384174139
1507-022,-34.608,-70.295,FEATURE_VOLCANO,3.686636269
1507-152,-40.77,-71.95,FEATURE_VOLCANO,3.278067331
1507-04=,-35.223,-70.568,FEATURE_VOLCANO,3.599555591
1507-16-,-40.969,-72.264,FEATURE_VOLCANO,3.396722279
1507-15=,-40.59,-72.117,FEATURE_VOLCANO,3.349471799
1507-121,-39.496,-71.722,FEATURE_VOLCANO,3.372912003
1507-065,-36.45,-70.92,FEATURE_VOLCANO,3.276461804
1507-062,-35.989,-70.849,FEATURE_VOLCANO,3.558828525
1507-111,-38.97,-71.52,FEATURE_VOLCANO,3.35831564
1507-03=,-34.814,-70.352,FEATURE_VOLCANO,3.631443769
1507-093,-38.31,-71.645,FEATURE_VOLCANO,3.437592032
1507-101,-38.509,-70.898,FEATURE_VOLCANO,3.388811413
1507-01=,-33.425,-69.797,FEATURE_VOLCANO,3.752816431
1507-12=,-39.42,-71.93,FEATURE_VOLCANO,3.454387467
1506-011,-27.15,-109.38,FEATURE_VOLCANO,2.7084209
