identifier,latitude,longitude,resource,taille
107,-46.32,167.77,RESOURCE_AMBER,9.647691669
106,-46.15,168.75,RESOURCE_AMBER,12.6117244
104,-45.48,169.31,RESOURCE_AMBER,12.60624041
103,-44.99,169.98,RESOURCE_AMBER,12.6075063
0,-37.37,143.93,RESOURCE_AMBER,12.48863539
102,-34.96,173.21,RESOURCE_AMBER,12.62089055
108,-5.06,-78.06,RESOURCE_AMBER,12.41827253
92,2.3,113.07,RESOURCE_AMBER,10.31061794
41,9.82,39.49,RESOURCE_AMBER,12.41650779
94,16.52,-92.66,RESOURCE_AMBER,12.48862785
39,19,-70.17,RESOURCE_AMBER,11.59085826
40,19.38,-70.73,RESOURCE_AMBER,12.42577428
53,21.38,73.07,RESOURCE_AMBER,12.30860667
100,25.68,95.83,RESOURCE_AMBER,12.94470453
98,26.36,96.72,RESOURCE_AMBER,12.30864728
180,28.71,-100.5,RESOURCE_AMBER,10.66036042
179,29.16,-103.61,RESOURCE_AMBER,10.64480566
178,30.15,-103.6,RESOURCE_AMBER,10.64532965
57,30.84,34.87,RESOURCE_AMBER,12.15877661
86,32.27,35.9,RESOURCE_AMBER,12.51245011
175,32.78,-79.93,RESOURCE_AMBER,10.29170477
55,33.01,35.76,RESOURCE_AMBER,12.15875565
88,33.5,35.6,RESOURCE_AMBER,12.15874516
158,34.01,-90.06,RESOURCE_AMBER,10.33276684
148,34.3,-118.68,RESOURCE_AMBER,12.2971329
146,34.36,-92.77,RESOURCE_AMBER,9.629050707
82,34.8,135.17,RESOURCE_AMBER,12.5143438
177,35.2,-88.19,RESOURCE_AMBER,11.03438954
173,35.49,-76.86,RESOURCE_AMBER,12.41695736
85,35.66,139.29,RESOURCE_AMBER,12.33667538
171,36.21,-108.08,RESOURCE_AMBER,10.83137083
83,36.81,140.8,RESOURCE_AMBER,11.59096
66,37.51,14.31,RESOURCE_AMBER,12.17701967
131,38.44,-0.64,RESOURCE_AMBER,12.313253
153,38.66,-98.03,RESOURCE_AMBER,11.13894449
115,38.69,-9.37,RESOURCE_AMBER,12.60968938
149,38.95,-105.29,RESOURCE_AMBER,12.48863162
150,39.01,-75.51,RESOURCE_AMBER,9.548881895
154,39.08,-76.5,RESOURCE_AMBER,10.30621558
170,39.6,-75.5,RESOURCE_AMBER,12.43467726
133,40.17,-0.53,RESOURCE_AMBER,12.61823528
84,40.19,141.82,RESOURCE_AMBER,12.44357659
165,40.48,-74.45,RESOURCE_AMBER,9.493261127
172,40.56,-74.14,RESOURCE_AMBER,9.500993028
130,40.75,-3.79,RESOURCE_AMBER,12.59315991
126,40.8,-0.88,RESOURCE_AMBER,12.50374094
174,41.18,-71.58,RESOURCE_AMBER,10.26315302
157,41.28,-70.1,RESOURCE_AMBER,11.87644295
156,41.35,-70.84,RESOURCE_AMBER,10.02220349
34,41.79,123.79,RESOURCE_AMBER,11.0694625
155,42.26,-71.81,RESOURCE_AMBER,9.619399016
81,43.27,141.91,RESOURCE_AMBER,12.39106148
127,43.3,-4.43,RESOURCE_AMBER,12.61822865
70,43.56,10.4,RESOURCE_AMBER,12.63811477
65,43.82,7.56,RESOURCE_AMBER,12.51042745
185,43.93,-110.59,RESOURCE_AMBER,8.901094122
183,44.25,-105.55,RESOURCE_AMBER,8.873748128
59,44.27,11.35,RESOURCE_AMBER,12.58792789
62,44.69,9.98,RESOURCE_AMBER,12.32801148
118,45.1,24.11,RESOURCE_AMBER,8.885164095
80,45.76,11.57,RESOURCE_AMBER,12.47863854
68,45.89,10.82,RESOURCE_AMBER,12.47894687
63,46.23,12.69,RESOURCE_AMBER,12.47857001
73,46.63,12.1,RESOURCE_AMBER,12.47849005
12,46.68,15.17,RESOURCE_AMBER,10.97893356
